Entity A Type,Entity A,Entity B Type,Entity B,Connection,Source(s)
Organization,4 SHADOW TREE LANE MEMBER CORP.,Organization,4 SHADOW TREE LANE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,40 WALL DEVELOPMENT ASSOCIATES LLC,Organization,40 WALL STREET LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,40 WALL STREET LLC,Organization,40 WALL STREET COMMERCIAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,40 WALL STREET MEMBER CORP.,Organization,40 WALL STREET LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,401 MEZZ VENTURE LLC,Organization,401 NORTH WABASH VENTURE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,401 MEZZ VENTURE LLC,Organization,TRUMP CHICAGO RETAIL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,401 NORTH WABASH VENTURE LLC,Organization,TRUMP COMMERCIAL CHICAGO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,401 NORTH WABASH VENTURE LLC,Organization,TRUMP PAYROLL CHICAGO LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,4C INSIGHTS,Person,JEREMY KATZ,Former advisory council board member,https://www.documentcloud.org/documents/3534036-Katz-Jeremy.html
Organization,809 NORTH CANON MEMBER CORPORATION,Organization,809 NORTH CANON LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,AARON SCHOCK,Person,ANNIE DONALDSON,Provided legal services for,https://www.documentcloud.org/documents/3534049-Donaldson-Ann.html
Person,AARON SCHOCK,Person,DON MCGAHN,McGahn provided legal services for Schock,https://www.documentcloud.org/documents/3535093-McGahn-Donald-F.html
Person,ABDUL WAHID AL ULAMA,Organization,NITTO WORLD CO. LIMITED,Former director,https://beta.companieshouse.gov.uk/company/02124389/officers
Person,ABDUL WAHID AL ULAMA,Organization,SLC TURNBERRY LIMITED,Former director,https://beta.companieshouse.gov.uk/company/SC177810/officers
Person,ABE WALLACH,Organization,THE TRUMP ORGANIZATION INC.,Former executive vice president of acquisitions and finance,https://www.nytimes.com/2016/05/31/us/politics/donald-trump-hong-kong-riverside-south.html
Organization,ABERDEEN ASSET MANAGEMENT,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,ACADEMI,Organization,XE SERVICES, LLC NKA/FKA,https://www.washingtonpost.com/blogs/checkpoint-washington/post/ex-blackwater-firm-gets-a-name-change-again/2011/12/12/gIQAXf4YpO_blog.html?utm_term=.bd28e9699633
Organization,ACE ENTERTAINMENT HOLDINGS INC,Organization,TRUMP CASINOS INC.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,ACE ENTERTAINMENT HOLDINGS INC,Organization,TRUMP TAJ MAHAL INC.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,ADVISORS ASSET MANAGEMENT INC.,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,AETOS SA,Organization,TRUMP MARKS PUNTA DEL ESTE LLC,Licenses Trump name for Trump Tower Punta del Este,http://www.trump.com/real-estate-portfolio/uruguay/trump-tower-punta-del-este/ | https://www.multihousingnews.com/post/100m-residential-trump-project-launched-in-uruguay-2/
